LABELS
SEPARATOR TAB
DATA
EPI2136201|NA|A/Madagascar/3049/2022|EPI_ISL_14727215|A_/_H3N2	Madagascar/3049/2022
EPI2366535|NA|A/Madagascar/2597/2022|EPI_ISL_16834334|A_/_H3N2	Madagascar/2597/2022
EPI2136153|NA|A/Madagascar/2728/2022|EPI_ISL_14727209|A_/_H3N2	Madagascar/2728/2022
EPI2157604|NA|A/Madagascar/3505/2022|EPI_ISL_14862569|A_/_H3N2	Madagascar/3505/2022
EPI2544056|NA|A/Madagascar/3505/2022|EPI_ISL_17625804|A_/_H3N2	Madagascar/3505/2022
EPI2369960|NA|A/Madagascar/3601/2022|EPI_ISL_16836074|A_/_H3N2	Madagascar/3601/2022
EPI2158205|NA|A/Madagascar/3363/2022|EPI_ISL_14863087|A_/_H3N2	Madagascar/3363/2022
EPI2370138|NA|A/Madagascar/3556/2022|EPI_ISL_16836306|A_/_H3N2	Madagascar/3556/2022
EPI2366544|NA|A/Madagascar/2881/2022|EPI_ISL_16834336|A_/_H3N2	Madagascar/2881/2022
EPI2370078|NA|A/Madagascar/3761/2022|EPI_ISL_16836224|A_/_H3N2	Madagascar/3761/2022
EPI2370069|NA|A/Madagascar/3750/2022|EPI_ISL_16836214|A_/_H3N2	Madagascar/3750/2022
EPI2368085|NA|A/Madagascar/3202/2022|EPI_ISL_16834695|A_/_H3N2	Madagascar/3202/2022
EPI2136254|NA|A/Madagascar/2774/2022|EPI_ISL_14727222|A_/_H3N2	Madagascar/2774/2022
EPI2366562|NA|A/Madagascar/3052/2022|EPI_ISL_16834339|A_/_H3N2	Madagascar/3052/2022
EPI2136185|NA|A/Madagascar/3322/2022|EPI_ISL_14727213|A_/_H3N2	Madagascar/3322/2022
EPI2369496|NA|A/Madagascar/3926/2022|EPI_ISL_16835633|A_/_H3N2	Madagascar/3926/2022
EPI4440479|NA|A/Madagascar/02106/2025|EPI_ISL_19907484|A_/_H3N2	Madagascar/02106/2025
EPI4576389|NA|A/Madagascar/72527/2025|EPI_ISL_20090056|A_/_H3N2	Madagascar/72527/2025
EPI4645083|NA|A/Madagascar/2175/2025|EPI_ISL_20150124|A_/_H3N2	Madagascar/2175/2025
EPI4645139|NA|A/Madagascar/1856/2025|EPI_ISL_20150131|A_/_H3N2	Madagascar/1856/2025
EPI4645115|NA|A/Madagascar/1753/2025|EPI_ISL_20150128|A_/_H3N2	Madagascar/1753/2025
EPI4645075|NA|A/Madagascar/2111/2025|EPI_ISL_20150123|A_/_H3N2	Madagascar/2111/2025
EPI4304286|NA|A/Madagascar/01076/2025|EPI_ISL_19854892|A_/_H3N2	Madagascar/01076/2025
EPI4304239|NA|A/Madagascar/00329/2025|EPI_ISL_19854884|A_/_H3N2	Madagascar/00329/2025
EPI4304254|NA|A/Madagascar/00697/2025|EPI_ISL_19854887|A_/_H3N2	Madagascar/00697/2025
EPI4304267|NA|A/Madagascar/00890/2025|EPI_ISL_19854889|A_/_H3N2	Madagascar/00890/2025
EPI4576381|NA|A/Madagascar/71711/2025|EPI_ISL_20090055|A_/_H3N2	Madagascar/71711/2025
EPI4638631|NA|A/Madagascar/02064/2025|EPI_ISL_20144897|A_/_H3N2	Madagascar/02064/2025
EPI4742827|NA|A/Madagascar/02284/2025|EPI_ISL_20206042|A_/_H3N2	Madagascar/02284/2025
EPI4638638|NA|A/Madagascar/02284/2025|EPI_ISL_20144898|A_/_H3N2	Madagascar/02284/2025
EPI4638624|NA|A/Madagascar/02036/2025|EPI_ISL_20144896|A_/_H3N2	Madagascar/02036/2025
EPI4576412|NA|A/Madagascar/02497/2025|EPI_ISL_20090060|A_/_H3N2	Madagascar/02497/2025
EPI4440474|NA|A/Madagascar/01899/2025|EPI_ISL_19907483|A_/_H3N2	Madagascar/01899/2025
EPI4440468|NA|A/Madagascar/01473/2025|EPI_ISL_19907482|A_/_H3N2	Madagascar/01473/2025
EPI4576534|NA|A/Madagascar/71538/2025|EPI_ISL_20090078|A_/_H3N2	Madagascar/71538/2025
EPI4576328|NA|A/Madagascar/00128/2025|EPI_ISL_20090047|A_/_H3N2	Madagascar/00128/2025
EPI3748437|NA|A/Madagascar/03710/2024|EPI_ISL_19638440|A_/_H3N2	Madagascar/03710/2024
EPI4576344|NA|A/Madagascar/00572/2025|EPI_ISL_20090049|A_/_H3N2	Madagascar/00572/2025
EPI4645107|NA|A/Madagascar/1845/2025|EPI_ISL_20150127|A_/_H3N2	Madagascar/1845/2025
EPI4576404|NA|A/Madagascar/81992/2025|EPI_ISL_20090058|A_/_H3N2	Madagascar/81992/2025
EPI3879528|NA|A/Madagascar/81992/2024|EPI_ISL_19704265|A_/_H3N2	Madagascar/81992/2024
EPI4304299|NA|A/Madagascar/01189/2025|EPI_ISL_19854894|A_/_H3N2	Madagascar/01189/2025
EPI4304247|NA|A/Madagascar/00455/2025|EPI_ISL_19854886|A_/_H3N2	Madagascar/00455/2025
EPI4304260|NA|A/Madagascar/00823/2025|EPI_ISL_19854888|A_/_H3N2	Madagascar/00823/2025
EPI4304292|NA|A/Madagascar/01078/2025|EPI_ISL_19854893|A_/_H3N2	Madagascar/01078/2025
EPI4304279|NA|A/Madagascar/00935/2025|EPI_ISL_19854891|A_/_H3N2	Madagascar/00935/2025
EPI4304245|NA|A/Madagascar/00421/2025|EPI_ISL_19854885|A_/_H3N2	Madagascar/00421/2025
EPI4304274|NA|A/Madagascar/00892/2025|EPI_ISL_19854890|A_/_H3N2	Madagascar/00892/2025
EPI3840253|NA|A/Madagascar/03416/2024|EPI_ISL_19687004|A_/_H3N2	Madagascar/03416/2024
EPI3839974|NA|A/Madagascar/03415/2024|EPI_ISL_19686966|A_/_H3N2	Madagascar/03415/2024
EPI3840225|NA|A/Madagascar/03415/2024|EPI_ISL_19687000|A_/_H3N2	Madagascar/03415/2024
EPI4576374|NA|A/Madagascar/71674/2025|EPI_ISL_20090054|A_/_H3N2	Madagascar/71674/2025
EPI4742821|NA|A/Madagascar/01957/2025|EPI_ISL_20206041|A_/_H3N2	Madagascar/01957/2025
EPI4638611|NA|A/Madagascar/01957/2025|EPI_ISL_20144894|A_/_H3N2	Madagascar/01957/2025
EPI4645091|NA|A/Madagascar/1565/2025|EPI_ISL_20150125|A_/_H3N2	Madagascar/1565/2025
EPI4440461|NA|A/Madagascar/01346/2025|EPI_ISL_19907481|A_/_H3N2	Madagascar/01346/2025
EPI4576366|NA|A/Madagascar/71292/2025|EPI_ISL_20090053|A_/_H3N2	Madagascar/71292/2025
EPI4715527|NA|A/Madagascar/02289/2025|EPI_ISL_20178561|A_/_H3N2	Madagascar/02289/2025
EPI4638646|NA|A/Madagascar/02289/2025|EPI_ISL_20144899|A_/_H3N2	Madagascar/02289/2025
