DATASET_COLORSTRIP
SEPARATOR TAB
DATASET_LABEL	Madagascar vs Africa
EPI1347541|NA|B/Kilifi/107/2016|EPI_ISL_336385|B	#95a5a6
EPI986309|NA|B/Tunisia/2529/2017|EPI_ISL_261305|B	#95a5a6
EPI1368833|NA|B/Kenya/169/2018|EPI_ISL_341126|B	#95a5a6
EPI1281994|NA|B/Madagascar/1351/2018|EPI_ISL_322855|B	#c0392b
EPI1281812|NA|B/Madagascar/667/2018|EPI_ISL_322830|B	#c0392b
EPI1281986|NA|B/Madagascar/904/2018|EPI_ISL_322854|B	#c0392b
EPI1281820|NA|B/Madagascar/685/2018|EPI_ISL_322831|B	#c0392b
EPI1689206|NA|B/Tunis/285/2020|EPI_ISL_409848|B	#95a5a6
EPI1585873|NA|B/Congo/334/2019|EPI_ISL_389972|B	#95a5a6
EPI1272865|NA|B/Mauritius/2352/2018|EPI_ISL_321068|B	#95a5a6
EPI1161317|NA|B/Kenya/042/2017|EPI_ISL_295801|B	#95a5a6
EPI3528414|NA|B/Mauritius/CHL-1368/2017|EPI_ISL_19373617|B	#95a5a6
EPI1053180|NA|B/South_Africa/R07356/2017|EPI_ISL_276606|B	#95a5a6
EPI1239671|NA|B/Niger/5595/2018|EPI_ISL_311621|B	#95a5a6
EPI854551|NA|B/Mozambique/360/2016|EPI_ISL_236893|B	#95a5a6
EPI778052|NA|B/Kenya/008/2015|EPI_ISL_225450|B	#95a5a6
EPI574819|NA|B/Madagascar/2384/2014|EPI_ISL_175133|B	#c0392b
EPI562348|NA|B/Madagascar/3124/2014|EPI_ISL_171961|B	#c0392b
EPI562350|NA|B/Madagascar/3129/2014|EPI_ISL_171962|B	#c0392b
EPI574817|NA|B/Madagascar/2340/2014|EPI_ISL_175132|B	#c0392b
EPI823797|NA|B/Egypt/ASW5402/2015|EPI_ISL_231690|B	#95a5a6
EPI693030|NA|B/Egypt/4959/2015|EPI_ISL_206924|B	#95a5a6
EPI450054|NA|B/CASABLANCA/246/2013|EPI_ISL_141514|B	#95a5a6
EPI2644882|NA|B/Kenya/KCH117519/2013|EPI_ISL_17996237|B	#95a5a6
EPI462456|NA|B/Tanzania/404/2013|EPI_ISL_144248|B	#95a5a6
EPI445924|NA|B/Cairo/161/2013|EPI_ISL_140360|B	#95a5a6
EPI574821|NA|B/Madagascar/2439/2014|EPI_ISL_175134|B	#c0392b
EPI515276|NA|B/Madagascar/03256/2013|EPI_ISL_158879|B	#c0392b
EPI515278|NA|B/Madagascar/03261/2013|EPI_ISL_158880|B	#c0392b
EPI467139|NA|B/Madagascar/01609/2013|EPI_ISL_145599|B	#c0392b
EPI467137|NA|B/Madagascar/01481/2013|EPI_ISL_145598|B	#c0392b
EPI468029|NA|B/Dakar/17/2013|EPI_ISL_145965|B	#95a5a6
EPI574857|NA|B/Zambia/06-046/2014|EPI_ISL_175152|B	#95a5a6
EPI155957|NA|B/Johannesburg/1197/2007|EPI_ISL_20652|B	#95a5a6
EPI1990218|NA|B/Kisumu/7/2005|EPI_ISL_10656772|B	#95a5a6
EPI56415|NA|B/Johannesburg/06/1994|EPI_ISL_6829|B	#95a5a6
EPI117802|NA|B/Fatik/27/98|EPI_ISL_12380|B	#95a5a6
EPI117810|NA|B/Johannesburg/84/98|EPI_ISL_12384|B	#95a5a6
EPI392|NA|B/Lusaka/432/99|EPI_ISL_131|B	#95a5a6
EPI51464|NA|B/Johannesburg/05/1999|EPI_ISL_6602|B	#95a5a6
EPI1938100|NA|B/Madagascar/67860/2002|EPI_ISL_6949742|B	#c0392b
EPI1926986|NA|B/Johannesburg/8/2002|EPI_ISL_6314616|B	#95a5a6
EPI392607|NA|B/Madagascar/01706/2012|EPI_ISL_128135|B	#c0392b
EPI904528|NA|B/Madagascar/01706/2012|EPI_ISL_246842|B	#c0392b
EPI392561|NA|B/Madagascar/03104/2012|EPI_ISL_128110|B	#c0392b
EPI539419|NA|B/Gambia/G0068640/2012|EPI_ISL_165475|B	#95a5a6
EPI2177646|NA|B/Mali-PERCH/006/2013|EPI_ISL_14955171|B	#95a5a6
EPI530722|NA|B/Hevecam/2011V-17457_GVFI/2011|EPI_ISL_162167|B	#95a5a6
EPI902622|NA|B/Madagascar/0236/2011|EPI_ISL_246577|B	#c0392b
EPI326150|NA|B/Madagascar/0236/2011|EPI_ISL_93717|B	#c0392b
EPI904577|NA|B/Lusaka/127/2011|EPI_ISL_246891|B	#95a5a6
EPI389874|NA|B/Uganda/MUWRP-122/2009|EPI_ISL_127559|B	#95a5a6
EPI325136|NA|B/Kenya/4387/2011|EPI_ISL_93518|B	#95a5a6
EPI287075|NA|B/Johannesburg/107/2010|EPI_ISL_81368|B	#95a5a6
EPI301337|NA|B/La_Reunion/845/2010|EPI_ISL_85715|B	#95a5a6
EPI243645|NA|B/Madagascar/6103/2009|EPI_ISL_70234|B	#c0392b
EPI305370|NA|B/Agadir/156/2011|EPI_ISL_86985|B	#95a5a6
EPI356388|NA|B/Kenya/099/2011|EPI_ISL_105954|B	#95a5a6
EPI641523|NA|B/Kenya/010/2011|EPI_ISL_195373|B	#95a5a6
EPI339395|NA|B/Kenya/2581/2011|EPI_ISL_97466|B	#95a5a6
EPI346953|NA|B/Tanger/63/2010|EPI_ISL_100079|B	#95a5a6
EPI346224|NA|B/FES/428/2011|EPI_ISL_99727|B	#95a5a6
EPI393575|NA|B/Dakar/09/2012|EPI_ISL_128360|B	#95a5a6
EPI366214|NA|B/Egypt/0945/2010|EPI_ISL_115047|B	#95a5a6
EPI2644815|NA|B/Kenya/KCH111245/2012|EPI_ISL_17996213|B	#95a5a6
EPI334451|NA|B/Tanzania/85/2011|EPI_ISL_95494|B	#95a5a6
EPI904531|NA|B/Madagascar/02856/2012|EPI_ISL_246845|B	#c0392b
EPI392613|NA|B/Madagascar/02856/2012|EPI_ISL_128138|B	#c0392b
EPI904530|NA|B/Madagascar/02853/2012|EPI_ISL_246844|B	#c0392b
