PA_H10N1.africa	3	3	OK
PA_H10N6.africa	3	3	OK
PA_H10N7.africa	7	7	OK
PA_H10N8.africa	6	6	OK
PA_H10N9.africa	4	4	OK
PA_H11N1.africa	7	7	OK
PA_H11N2.africa	9	9	OK
PA_H11N2.madagascar	8	8	OK
PA_H11N6.africa	4	4	OK
PA_H11N9.africa	9	9	OK
PA_H1N1.africa	4629	4629	OK
PA_H1N1.madagascar	114	114	OK
PA_H1N2.africa	10	10	OK
PA_H1N2.madagascar	7	7	OK
PA_H1N8.africa	5	5	OK
PA_H2N9.africa	3	3	OK
PA_H3N2.africa	6975	6975	OK
PA_H3N2.madagascar	244	244	OK
PA_H3N6.africa	3	3	OK
PA_H3N8.africa	11	11	OK
PA_H4N6.africa	24	24	OK
PA_H4N6.madagascar	21	21	OK
PA_H4N8.africa	3	3	OK
PA_H5N1.africa	950	950	OK
PA_H5N2.africa	22	22	OK
PA_H5N3.africa	3	3	OK
PA_H5N8.africa	287	287	OK
PA_H6N1.africa	27	27	OK
PA_H6N1.madagascar	25	25	OK
PA_H6N2.africa	61	61	OK
PA_H6N2.madagascar	24	24	OK
PA_H6N8.africa	5	5	OK
PA_H6N8.madagascar	3	3	OK
PA_H7N1.africa	14	14	OK
PA_H7N3.africa	12	12	OK
PA_H7N6.africa	70	70	OK
PA_H7N7.africa	14	14	OK
PA_H7N7.madagascar	3	3	OK
PA_H8N4.africa	3	3	OK
PA_H9N2.africa	840	840	OK
PA_H9N2.madagascar	64	64	OK
PB1_B.africa	2821	2821	OK
PB1_B.madagascar	229	229	OK
PB1_C.africa	3	3	OK
PB1_H10N1.africa	3	3	OK
PB1_H10N6.africa	3	3	OK
PB1_H10N7.africa	7	7	OK
PB1_H10N8.africa	6	6	OK
PB1_H10N9.africa	4	4	OK
PB1_H11N1.africa	7	7	OK
PB1_H11N2.africa	6	6	OK
PB1_H11N2.madagascar	5	5	OK
PB1_H11N6.africa	4	4	OK
PB1_H11N9.africa	10	10	OK
PB1_H18N11.africa	3	3	OK
PB1_H1N1.africa	4481	4481	OK
PB1_H1N1.madagascar	81	81	OK
PB1_H1N2.africa	11	11	OK
PB1_H1N2.madagascar	8	8	OK
PB1_H1N8.africa	5	5	OK
PB1_H2N9.africa	3	3	OK
PB1_H3N2.africa	6451	6451	OK
PB1_H3N2.madagascar	243	243	OK
PB1_H3N6.africa	3	3	OK
PB1_H3N8.africa	10	10	OK
PB1_H4N6.africa	24	24	OK
PB1_H4N6.madagascar	21	21	OK
PB1_H4N8.africa	3	3	OK
PB1_H5N1.africa	964	964	OK
PB1_H5N2.africa	22	22	OK
PB1_H5N3.africa	3	3	OK
PB1_H5N8.africa	264	264	OK
PB1_H6N1.africa	17	17	OK
PB1_H6N1.madagascar	15	15	OK
PB1_H6N2.africa	55	55	OK
PB1_H6N2.madagascar	17	17	OK
PB1_H6N8.africa	4	4	OK
PB1_H7N1.africa	14	14	OK
PB1_H7N3.africa	11	11	OK
PB1_H7N6.africa	72	72	OK
PB1_H7N7.africa	15	15	OK
PB1_H7N7.madagascar	3	3	OK
PB1_H8N4.africa	3	3	OK
PB1_H9N2.africa	836	836	OK
PB1_H9N2.madagascar	61	61	OK
PB2_B.africa	2819	2819	OK
PB2_B.madagascar	222	222	OK
PB2_C.africa	3	3	OK
PB2_H10N1.africa	3	3	OK
